2026-03-24 22:50:11,657 [UNIFIED] ============================================================
2026-03-24 22:50:11,659 [UNIFIED] Luca Unified Startup
2026-03-24 22:50:11,659 [UNIFIED] Time: 2026-03-24T22:50:11.659827
2026-03-24 22:50:11,659 [UNIFIED] Boot delay: 10s
2026-03-24 22:50:11,660 [UNIFIED] ============================================================
2026-03-24 22:50:21,660 [UNIFIED] --- Phase 1: Memory Server ---
2026-03-24 22:50:21,668 [UNIFIED] Memory server already running on port 5050
2026-03-24 22:50:21,668 [UNIFIED] Waiting for memory server on port 5050...
2026-03-24 22:50:21,694 [UNIFIED] Memory server ready (waited 0s)
2026-03-24 22:50:21,695 [UNIFIED] --- Phase 2: Telegram Bot ---
2026-03-24 22:50:21,695 [UNIFIED] Starting telegram bot: C:\Users\sunjo\Desktop\luca 연구자동화에이전트\telegram_bot.py
2026-03-24 22:50:21,787 [UNIFIED] Telegram bot started (PID: 124996)
2026-03-24 22:50:21,787 [UNIFIED] --- Phase 3: Watchdog Active ---
2026-03-24 22:55:21,898 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:00:21,937 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:05:21,956 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:10:21,990 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:15:22,039 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:20:22,082 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:25:22,133 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:30:22,199 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:35:22,232 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:40:22,294 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:45:22,353 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:50:22,385 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-24 23:55:22,423 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:00:22,440 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:05:22,458 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:10:22,491 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:15:22,604 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:20:22,641 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:25:22,660 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:30:22,692 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:35:22,732 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:40:22,755 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:45:22,806 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:50:22,827 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 00:55:22,907 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:00:22,940 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:05:22,984 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:10:23,001 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:15:23,020 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:20:23,077 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:25:23,116 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:30:23,137 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:35:23,160 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:40:23,182 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:45:23,228 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:50:23,295 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 01:55:23,333 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:00:23,372 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:05:23,436 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:10:23,524 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:15:23,542 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:20:23,611 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:25:23,652 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:30:23,699 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:35:23,719 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:40:23,738 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:45:23,784 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:50:23,824 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 02:55:23,937 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:00:23,986 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:05:24,073 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:10:24,121 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:15:24,182 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:20:24,204 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:25:24,252 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:30:24,292 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:35:24,331 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:40:24,413 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:45:24,431 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:50:24,474 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 03:55:24,551 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:00:24,608 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:05:24,647 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:10:24,685 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:15:24,746 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:20:24,782 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:25:24,851 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:30:24,884 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:35:24,937 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:40:24,957 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:45:25,021 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:50:25,086 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 04:55:25,141 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:00:25,221 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:05:25,254 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:10:25,318 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:15:25,363 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:20:25,401 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:25:25,447 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:30:25,503 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:35:25,580 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:40:25,601 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:45:25,635 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:50:25,745 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 05:55:25,832 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
2026-03-25 06:00:25,911 [UNIFIED] All systems OK (bot PID: 124996, memory: port 5050)
